metric,test,grouping_variable,f_statistic,p_value,significant_05,caption_bucket,group_mean
likes_per_10k_reach,ANOVA,caption_bucket,0.6330141208569506,0.5309960149637436,False,short,2811.5525123795114
likes_per_10k_reach,ANOVA,caption_bucket,0.6330141208569506,0.5309960149637436,False,medium,2728.109010798251
likes_per_10k_reach,ANOVA,caption_bucket,0.6330141208569506,0.5309960149637436,False,long,2838.2238154414135
comments_per_10k_reach,ANOVA,caption_bucket,0.22427072172906526,0.7991001116039524,False,short,145.68982936088915
comments_per_10k_reach,ANOVA,caption_bucket,0.22427072172906526,0.7991001116039524,False,medium,141.71326097386162
comments_per_10k_reach,ANOVA,caption_bucket,0.22427072172906526,0.7991001116039524,False,long,142.5155694811345
shares_per_10k_reach,ANOVA,caption_bucket,0.3032501830798533,0.7384165982668129,False,short,73.08028676801558
shares_per_10k_reach,ANOVA,caption_bucket,0.3032501830798533,0.7384165982668129,False,medium,70.67271121336732
shares_per_10k_reach,ANOVA,caption_bucket,0.3032501830798533,0.7384165982668129,False,long,71.82442530953027
saves_per_10k_reach,ANOVA,caption_bucket,0.6507019180105669,0.5216868356894677,False,short,211.93739804629254
saves_per_10k_reach,ANOVA,caption_bucket,0.6507019180105669,0.5216868356894677,False,medium,206.62735027092734
saves_per_10k_reach,ANOVA,caption_bucket,0.6507019180105669,0.5216868356894677,False,long,215.3085647857747
followers_per_10k_reach,ANOVA,caption_bucket,0.1435133753098869,0.866309807786017,False,short,14.547021957734422
followers_per_10k_reach,ANOVA,caption_bucket,0.1435133753098869,0.866309807786017,False,medium,14.391199118126032
followers_per_10k_reach,ANOVA,caption_bucket,0.1435133753098869,0.866309807786017,False,long,14.239150187313333
engagement_depth_per_10k_reach,ANOVA,caption_bucket,0.565793723746869,0.5679152655088101,False,short,3964.8179436268265
engagement_depth_per_10k_reach,ANOVA,caption_bucket,0.565793723746869,0.5679152655088101,False,medium,3849.19433911516
engagement_depth_per_10k_reach,ANOVA,caption_bucket,0.565793723746869,0.5679152655088101,False,long,3983.685354694488
active_passive_ratio,ANOVA,caption_bucket,0.3695911997473128,0.6910199074855266,False,short,0.4269011350074586
active_passive_ratio,ANOVA,caption_bucket,0.3695911997473128,0.6910199074855266,False,medium,0.4370512234066197
active_passive_ratio,ANOVA,caption_bucket,0.3695911997473128,0.6910199074855266,False,long,0.42484474043190773
