metric_x,metric_y,spearman_rho,p_value,significant_05
likes_per_10k_reach,comments_per_10k_reach,0.473876562974187,0.0,True
likes_per_10k_reach,shares_per_10k_reach,0.47627268746235346,0.0,True
likes_per_10k_reach,saves_per_10k_reach,0.47050660567310126,0.0,True
likes_per_10k_reach,followers_per_10k_reach,0.46864014393848635,0.0,True
likes_per_10k_reach,engagement_depth_per_10k_reach,0.9515622727017535,0.0,True
likes_per_10k_reach,active_passive_ratio,-0.5818530445441832,0.0,True
comments_per_10k_reach,shares_per_10k_reach,0.4752957848433549,0.0,True
comments_per_10k_reach,saves_per_10k_reach,0.4709908840344188,0.0,True
comments_per_10k_reach,followers_per_10k_reach,0.47555923404059786,0.0,True
comments_per_10k_reach,engagement_depth_per_10k_reach,0.6197620225514476,0.0,True
comments_per_10k_reach,active_passive_ratio,0.1744627345414906,1.2028927207904211e-203,True
shares_per_10k_reach,saves_per_10k_reach,0.4716153702278425,0.0,True
shares_per_10k_reach,followers_per_10k_reach,0.4743929139400476,0.0,True
shares_per_10k_reach,engagement_depth_per_10k_reach,0.6005527298612111,0.0,True
shares_per_10k_reach,active_passive_ratio,0.08522645720172954,1.7585006168939967e-49,True
saves_per_10k_reach,followers_per_10k_reach,0.4709073323524013,0.0,True
saves_per_10k_reach,engagement_depth_per_10k_reach,0.6154836777595388,0.0,True
saves_per_10k_reach,active_passive_ratio,0.2644637743803156,0.0,True
followers_per_10k_reach,engagement_depth_per_10k_reach,0.5578322462632495,0.0,True
followers_per_10k_reach,active_passive_ratio,0.009700404006130956,0.09293771075246292,False
engagement_depth_per_10k_reach,active_passive_ratio,-0.38821940416770045,0.0,True
